FEN,Bewertung
rnb1kb1r/ppp1pppp/5n2/q7/8/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 2 5,88
rnb1kb1r/ppp1pppp/5n2/q7/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 5,-100
r1b1kb1r/ppp1pppp/2n2n2/q7/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 1 6,119
r1b1kb1r/ppp1pppp/2n2n2/qB6/3P4/2N2N2/PPP2PPP/R1BQK2R b KQkq - 2 6,-71
r1b1kb1r/ppp2ppp/2n1pn2/qB6/3P4/2N2N2/PPP2PPP/R1BQK2R w KQkq - 0 7,140
r1b1kb1r/ppp2ppp/2n1pn2/qB6/3P4/2N2N2/PPP2PPP/R1BQ1RK1 b kq - 1 7,-173
r1b1k2r/ppp2ppp/2n1pn2/qB6/1b1P4/2N2N2/PPP2PPP/R1BQ1RK1 w kq - 2 8,184
r1b1k2r/ppp2ppp/2n1pn2/qB2N3/1b1P4/2N5/PPP2PPP/R1BQ1RK1 b kq - 3 8,-189
r1b1k2r/ppp2ppp/2n1pn2/qB2N3/3P4/2b5/PPP2PPP/R1BQ1RK1 w kq - 0 9,215
r1b1k2r/ppp2ppp/2n1pn2/qB2N3/P2P4/2b5/1PP2PPP/R1BQ1RK1 b kq - 0 9,-225
r3k2r/pppb1ppp/2n1pn2/qB2N3/P2P4/2b5/1PP2PPP/R1BQ1RK1 w kq - 1 10,220
r3k2r/pppb1ppp/2n1pn2/qB6/P1NP4/2b5/1PP2PPP/R1BQ1RK1 b kq - 2 10,-215
r3k2r/pppb1ppp/2n1pn2/1B6/PqNP4/2b5/1PP2PPP/R1BQ1RK1 w kq - 3 11,217
r3k2r/pppb1ppp/2n1pn2/1B6/PqNP4/2P5/2P2PPP/R1BQ1RK1 b kq - 0 11,-228
r3k2r/pppbqppp/2n1pn2/1B6/P1NP4/2P5/2P2PPP/R1BQ1RK1 w kq - 1 12,211
r3k2r/pppbqppp/2n1pn2/1B6/P1NP4/B1P5/2P2PPP/R2Q1RK1 b kq - 2 12,-224
r2qk2r/pppb1ppp/2n1pn2/1B6/P1NP4/B1P5/2P2PPP/R2Q1RK1 w kq - 3 13,217
r2qk2r/pppb1ppp/2n1pn2/1B6/P1NP4/B1PQ4/2P2PPP/R4RK1 b kq - 4 13,-182
r2qk2r/pppb1ppp/2n1p3/1B1n4/P1NP4/B1PQ4/2P2PPP/R4RK1 w kq - 5 14,230
r2qk2r/pppb1ppp/2n1p3/1B1n4/P1NP1P2/B1PQ4/2P3PP/R4RK1 b kq - 0 14,-231
r3k2r/pppb1ppp/2n1pq2/1B1n4/P1NP1P2/B1PQ4/2P3PP/R4RK1 w kq - 1 15,306
r3k2r/pppb1ppp/2n1pq2/1B1nN3/P2P1P2/B1PQ4/2P3PP/R4RK1 b kq - 2 15,-316
r3k2r/pppb1ppp/2n1p3/1B1nNq2/P2P1P2/B1PQ4/2P3PP/R4RK1 w kq - 3 16,335
r3k2r/pppb1ppp/2n1p3/1B1nNQ2/P2P1P2/B1P5/2P3PP/R4RK1 b kq - 0 16,-325
r3k2r/pppb1ppp/2n5/1B1nNp2/P2P1P2/B1P5/2P3PP/R4RK1 w kq - 0 17,362
r3k2r/pppb1ppp/2n5/1B1nNp2/P2P1P2/B1P5/2P3PP/R3R1K1 b kq - 1 17,-324
2kr3r/pppb1ppp/2n5/1B1nNp2/P2P1P2/B1P5/2P3PP/R3R1K1 w - - 2 18,358
2kr3r/pppb1Npp/2n5/1B1n1p2/P2P1P2/B1P5/2P3PP/R3R1K1 b - - 0 18,-322
2kr3r/pppb1Npp/2n5/1B3p2/P2P1P2/B1n5/2P3PP/R3R1K1 w - - 0 19,333
2kr3r/pppb1Npp/2n5/5p2/P1BP1P2/B1n5/2P3PP/R3R1K1 b - - 1 19,-283
2kr3r/pppb1Npp/8/n4p2/P1BP1P2/B1n5/2P3PP/R3R1K1 w - - 2 20,359
2kr3r/pppb1Npp/8/n4p2/P2P1P2/B1nB4/2P3PP/R3R1K1 b - - 3 20,-344
2kr3r/pppb1Npp/2n5/5p2/P2P1P2/B1nB4/2P3PP/R3R1K1 w - - 4 21,353
2kr3r/pppb1Npp/2n5/5p2/P2P1P2/2nB4/1BP3PP/R3R1K1 b - - 5 21,-358
2kr3r/pppb1Npp/2n5/3n1p2/P2P1P2/3B4/1BP3PP/R3R1K1 w - - 6 22,360
2kr3r/pppb1Npp/2n5/3n1p2/P1BP1P2/8/1BP3PP/R3R1K1 b - - 7 22,-310
2kr3r/pppb1Npp/1nn5/5p2/P1BP1P2/8/1BP3PP/R3R1K1 w - - 8 23,304
2kr3r/pppb1Npp/1nn5/5p2/P2P1P2/1B6/1BP3PP/R3R1K1 b - - 9 23,-287
2kr3r/pppb1Npp/1n6/n4p2/P2P1P2/1B6/1BP3PP/R3R1K1 w - - 10 24,302
2kr3r/pppb1Npp/1n6/n4p2/P2P1P2/8/BBP3PP/R3R1K1 b - - 11 24,-284
2krr3/pppb1Npp/1n6/n4p2/P2P1P2/8/BBP3PP/R3R1K1 w - - 12 25,392
2kNr3/pppb2pp/1n6/n4p2/P2P1P2/8/BBP3PP/R3R1K1 b - - 0 25,-367
2kN4/pppb2pp/1n6/n4p2/P2P1P2/8/BBP3PP/R3r1K1 w - - 0 26,392
2kN4/pppb2pp/1n6/n4p2/P2P1P2/8/BBP3PP/4R1K1 b - - 0 26,-402
3k4/pppb2pp/1n6/n4p2/P2P1P2/8/BBP3PP/4R1K1 w - - 0 27,398
3k4/pppb2pp/1n6/n4p2/P2P1P2/2B5/B1P3PP/4R1K1 b - - 1 27,-359
3k4/pppb2pp/1n6/5p2/P1nP1P2/2B5/B1P3PP/4R1K1 w - - 2 28,365
3k4/pppb2pp/1n6/P4p2/2nP1P2/2B5/B1P3PP/4R1K1 b - - 0 28,-380
3k4/pppb2pp/8/P2n1p2/2nP1P2/2B5/B1P3PP/4R1K1 w - - 1 29,368
3k4/pppb2pp/8/P2n1p2/2BP1P2/2B5/2P3PP/4R1K1 b - - 0 29,-388
3k4/pppb2pp/8/P4p2/2BP1P2/2n5/2P3PP/4R1K1 w - - 0 30,403
3k4/pppb2pp/8/P3Rp2/2BP1P2/2n5/2P3PP/6K1 b - - 1 30,-377
3k4/p1pb2pp/1p6/P3Rp2/2BP1P2/2n5/2P3PP/6K1 w - - 0 31,365
3k4/p1pb2pp/1p6/P3Rp2/2BP1P1P/2n5/2P3P1/6K1 b - - 0 31,-354
3k4/p1pb2pp/1p6/P3Rp2/2BPnP1P/8/2P3P1/6K1 w - - 1 32,383
3k4/p1pb2pp/1p6/P3Rp2/3PnP1P/3B4/2P3P1/6K1 b - - 2 32,-371
3k4/p1pb2pp/1p1n4/P3Rp2/3P1P1P/3B4/2P3P1/6K1 w - - 3 33,368
3k4/p1pb2pp/1P1n4/4Rp2/3P1P1P/3B4/2P3P1/6K1 b - - 0 33,-379
3k4/2pb2pp/1p1n4/4Rp2/3P1P1P/3B4/2P3P1/6K1 w - - 0 34,356
3k4/2pb2pp/1p1n4/4Rp2/2PP1P1P/3B4/6P1/6K1 b - - 0 34,-377
3k4/2pb3p/1p1n2p1/4Rp2/2PP1P1P/3B4/6P1/6K1 w - - 0 35,365
3k4/2pb3p/1p1n2p1/4Rp2/2PP1P1P/3B4/5KP1/8 b - - 1 35,-351
3k4/2p4p/1pbn2p1/4Rp2/2PP1P1P/3B4/5KP1/8 w - - 2 36,344
3k4/2p4p/1pbn2p1/2P1Rp2/3P1P1P/3B4/5KP1/8 b - - 0 36,-368
3k4/2p4p/2bn2p1/2p1Rp2/3P1P1P/3B4/5KP1/8 w - - 0 37,356
3k4/2p4p/2bn2p1/2R2p2/3P1P1P/3B4/5KP1/8 b - - 0 37,-338
3k4/2p4p/3n2p1/2R2p2/3PbP1P/3B4/5KP1/8 w - - 1 38,341
3k4/2p4p/3n2p1/2R2p2/3PbP1P/8/4BKP1/8 b - - 2 38,-308
8/2pk3p/3n2p1/2R2p2/3PbP1P/8/4BKP1/8 w - - 3 39,318
8/2pk3p/3n2p1/1BR2p2/3PbP1P/8/5KP1/8 b - - 4 39,-283
8/3k3p/2pn2p1/1BR2p2/3PbP1P/8/5KP1/8 w - - 0 40,346
8/3k3p/2pn2p1/2R2p2/B2PbP1P/8/5KP1/8 b - - 1 40,-333
8/2k4p/2pn2p1/2R2p2/B2PbP1P/8/5KP1/8 w - - 2 41,363
8/2k4p/2pn2p1/2R2p2/3PbP1P/1B6/5KP1/8 b - - 3 41,-344
8/2k4p/2p3p1/1nR2p2/3PbP1P/1B6/5KP1/8 w - - 4 42,366
6B1/2k4p/2p3p1/1nR2p2/3PbP1P/8/5KP1/8 b - - 5 42,-365
6B1/2k4p/2p3p1/2R2p2/3nbP1P/8/5KP1/8 w - - 0 43,360
6B1/2k4p/2p3p1/5p2/2RnbP1P/8/5KP1/8 b - - 1 43,-367
6B1/2k4p/2p3p1/1n3p2/2R1bP1P/8/5KP1/8 w - - 2 44,358
6B1/2k4p/2p3p1/1n3p2/4RP1P/8/5KP1/8 b - - 0 44,-373
6B1/2k4p/2p3p1/1n6/4pP1P/8/5KP1/8 w - - 0 45,392
8/2k4B/2p3p1/1n6/4pP1P/8/5KP1/8 b - - 0 45,-393
8/2k4B/2p3p1/8/4pP1P/2n5/5KP1/8 w - - 1 46,427
8/2k5/2p3B1/8/4pP1P/2n5/5KP1/8 b - - 0 46,-424
8/2k5/2p3B1/3n4/4pP1P/8/5KP1/8 w - - 1 47,430
8/2k5/2p3B1/3n4/4pP1P/6P1/5K2/8 b - - 0 47,-440
8/2k5/2p2nB1/8/4pP1P/6P1/5K2/8 w - - 1 48,449
8/2k5/2p2nB1/8/4pP1P/4K1P1/8/8 b - - 2 48,-441
8/2k5/5nB1/2p5/4pP1P/4K1P1/8/8 w - - 0 49,440
8/2k5/5n2/2p5/4BP1P/4K1P1/8/8 b - - 0 49,-453
8/2k5/8/2p5/4BPnP/4K1P1/8/8 w - - 1 50,460
8/2k5/8/2p5/4BPnP/5KP1/8/8 b - - 2 50,-471
8/2k5/8/2p5/4BP1P/5KP1/7n/8 w - - 3 51,482
8/2k5/8/2p5/4BP1P/6P1/4K2n/8 b - - 4 51,-488
8/8/3k4/2p5/4BP1P/6P1/4K2n/8 w - - 5 52,551
8/8/3k4/2p2B2/5P1P/6P1/4K2n/8 b - - 6 52,-557
8/4k3/8/2p2B2/5P1P/6P1/4K2n/8 w - - 7 53,562
8/4k3/8/2p2B2/5PPP/8/4K2n/8 b - - 0 53,-578
8/8/5k2/2p2B2/5PPP/8/4K2n/8 w - - 1 54,548
8/8/5k2/2p2B1P/5PP1/8/4K2n/8 b - - 0 54,-631
8/8/5k2/5B1P/2p2PP1/8/4K2n/8 w - - 0 55,630
8/3B4/5k2/7P/2p2PP1/8/4K2n/8 b - - 1 55,-636
8/3Bk3/8/7P/2p2PP1/8/4K2n/8 w - - 2 56,644
8/3Bk3/7P/8/2p2PP1/8/4K2n/8 b - - 0 56,-657
8/3B1k2/7P/8/2p2PP1/8/4K2n/8 w - - 1 57,668
8/3B1k2/7P/6P1/2p2P2/8/4K2n/8 b - - 0 57,-649
8/3B4/6kP/6P1/2p2P2/8/4K2n/8 w - - 1 58,738
8/8/6kP/5BP1/2p2P2/8/4K2n/8 b - - 2 58,-721
8/8/7P/5kP1/2p2P2/8/4K2n/8 w - - 0 59,706
8/7P/8/5kP1/2p2P2/8/4K2n/8 b - - 0 59,-672
8/7P/8/6P1/2p2Pk1/8/4K2n/8 w - - 1 60,895
7Q/8/8/6P1/2p2Pk1/8/4K2n/8 b - - 0 60,-1149
7Q/8/8/6P1/2p2Pk1/5n2/4K3/8 w - - 1 61,1266
2Q5/8/8/6P1/2p2Pk1/5n2/4K3/8 b - - 2 61,-633
2Q5/8/8/6P1/2p2P2/5nk1/4K3/8 w - - 3 62,1291
8/8/8/6P1/2Q2P2/5nk1/4K3/8 b - - 0 62,-1040
8/8/8/6P1/2Q2P2/6k1/4K3/6n1 w - - 1 63,1139
8/8/8/6P1/2Q2P2/4K1k1/8/6n1 b - - 2 63,-10000
8/8/8/6P1/2Q2P2/4Knk1/8/8 w - - 3 64,10000
8/8/8/6P1/5P2/4Knk1/8/5Q2 b - - 4 64,-10000
8/8/8/6P1/5P1n/4K1k1/8/5Q2 w - - 5 65,10000
8/8/8/6P1/5P1n/4K1k1/8/6Q1 b - - 6 65,-10000
8/8/8/6P1/5P2/4K1k1/6n1/6Q1 w - - 7 66,10000
8/8/8/6P1/4KP2/6k1/6n1/6Q1 b - - 8 66,-10000
8/8/8/6P1/4KP2/7k/6n1/6Q1 w - - 9 67,10000
8/8/6P1/8/4KP2/7k/6n1/6Q1 b - - 0 67,-10000
8/8/6P1/8/4KP2/7k/8/4n1Q1 w - - 1 68,10000
8/8/6P1/8/4KP2/7k/8/4Q3 b - - 0 68,-10000
8/8/6P1/8/4KP2/8/6k1/4Q3 w - - 1 69,10000
8/6P1/8/8/4KP2/8/6k1/4Q3 b - - 0 69,-10000
8/6P1/8/8/4KP2/8/7k/4Q3 w - - 1 70,10000
6Q1/8/8/8/4KP2/8/7k/4Q3 b - - 0 70,-10000
6Q1/8/8/8/4KP2/7k/8/4Q3 w - - 1 71,10000
6Q1/8/8/8/4KP2/7k/8/7Q b - - 2 71,-10000
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-29
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,23
rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2,46
rnbqkbnr/pppp1ppp/8/8/4Pp2/8/PPPP2PP/RNBQKBNR w KQkq - 0 3,-53
rnbqkbnr/pppp1ppp/8/8/4Pp2/5N2/PPPP2PP/RNBQKB1R b KQkq - 1 3,62
rnbqkbnr/pppp1p1p/8/6p1/4Pp2/5N2/PPPP2PP/RNBQKB1R w KQkq - 0 4,-65
rnbqkbnr/pppp1p1p/8/6p1/4Pp2/5N1P/PPPP2P1/RNBQKB1R b KQkq - 0 4,115
rnbqkbnr/ppp2p1p/3p4/6p1/4Pp2/5N1P/PPPP2P1/RNBQKB1R w KQkq - 0 5,-114
rnbqkbnr/ppp2p1p/3p4/6p1/4Pp2/2N2N1P/PPPP2P1/R1BQKB1R b KQkq - 1 5,111
rnbqk1nr/ppp2pbp/3p4/6p1/4Pp2/2N2N1P/PPPP2P1/R1BQKB1R w KQkq - 2 6,-116
rnbqk1nr/ppp2pbp/3p4/6p1/3PPp2/2N2N1P/PPP3P1/R1BQKB1R b KQkq - 0 6,113
rnbqk1nr/ppp2pb1/3p3p/6p1/3PPp2/2N2N1P/PPP3P1/R1BQKB1R w KQkq - 0 7,-106
rnbqk1nr/ppp2pb1/3p3p/6p1/3PPp1P/2N2N2/PPP3P1/R1BQKB1R b KQkq - 0 7,116
r1bqk1nr/ppp2pb1/2np3p/6p1/3PPp1P/2N2N2/PPP3P1/R1BQKB1R w KQkq - 1 8,-134
r1bqk1nr/ppp2pb1/2np3p/3P2p1/4Pp1P/2N2N2/PPP3P1/R1BQKB1R b KQkq - 0 8,183
r1bqk1nr/ppp2pb1/3p3p/3Pn1p1/4Pp1P/2N2N2/PPP3P1/R1BQKB1R w KQkq - 1 9,-205
r1bqk1nr/ppp2pb1/3p3p/3PN1p1/4Pp1P/2N5/PPP3P1/R1BQKB1R b KQkq - 0 9,201
r1bqk1nr/ppp2p2/3p3p/3Pb1p1/4Pp1P/2N5/PPP3P1/R1BQKB1R w KQkq - 0 10,-202
r1bqk1nr/ppp2p2/3p3p/1B1Pb1p1/4Pp1P/2N5/PPP3P1/R1BQK2R b KQkq - 1 10,242
r2qk1nr/pppb1p2/3p3p/1B1Pb1p1/4Pp1P/2N5/PPP3P1/R1BQK2R w KQkq - 2 11,-206
r2qk1nr/pppb1p2/3p3p/1B1Pb1p1/4Pp1P/2N5/PPP1Q1P1/R1B1K2R b KQkq - 3 11,233
r2qk1nr/pp1b1p2/2pp3p/1B1Pb1p1/4Pp1P/2N5/PPP1Q1P1/R1B1K2R w KQkq - 0 12,-202
r2qk1nr/pp1b1p2/2pp3p/3Pb1p1/2B1Pp1P/2N5/PPP1Q1P1/R1B1K2R b KQkq - 1 12,191
r2qk1nr/pp1b1p2/2pp3p/3Pb3/2B1PppP/2N5/PPP1Q1P1/R1B1K2R w KQkq - 0 13,-205
r2qk1nr/pp1b1p2/2pp3p/3Pb3/2B1PppP/2N5/PPP2QP1/R1B1K2R b KQkq - 1 13,198
r3k1nr/pp1b1p2/2pp3p/q2Pb3/2B1PppP/2N5/PPP2QP1/R1B1K2R w KQkq - 2 14,-182
r3k1nr/pp1b1p2/2pp3p/q2Pb3/2B1PppP/2N5/PPPB1QP1/R3K2R b KQkq - 3 14,163
r3k2r/pp1b1p2/2pp1n1p/q2Pb3/2B1PppP/2N5/PPPB1QP1/R3K2R w KQkq - 4 15,-144
r3k2r/pp1b1p2/2pp1n1p/q2Pb3/2B1PppP/2N5/PPPB1QP1/2KR3R b kq - 5 15,173
r3k2r/pp1b1p2/3p1n1p/q2pb3/2B1PppP/2N5/PPPB1QP1/2KR3R w kq - 0 16,-76
r3k2r/pp1b1p2/3p1n1p/q2Bb3/4PppP/2N5/PPPB1QP1/2KR3R b kq - 0 16,64
2r1k2r/pp1b1p2/3p1n1p/q2Bb3/4PppP/2N5/PPPB1QP1/2KR3R w k - 1 17,130
2r1k2r/pp1b1p2/3p1n1p/q2Bb3/4PppP/2N5/PPPB1QP1/1K1R3R b k - 2 17,126
2r1k2r/pp1b1p2/3p1n1p/q2Bb3/4Pp1P/2N3p1/PPPB1QP1/1K1R3R w k - 0 18,-149
2r1k2r/pp1b1p2/3p1n1p/q2Bb3/4Pp1P/2N3p1/PPPB2P1/1K1R1Q1R b k - 1 18,132
2r1k2r/pp3p2/3p1n1p/q2Bb3/4PpbP/2N3p1/PPPB2P1/1K1R1Q1R w k - 2 19,-96
2r1k2r/pp3p2/3p1n1p/q2Bb3/4PpbP/2N3p1/PPPB2P1/1K2RQ1R b k - 3 19,149
2r1k2r/pp3p2/3pbn1p/q2Bb3/4Pp1P/2N3p1/PPPB2P1/1K2RQ1R w k - 4 20,-99
2r1k2r/pp3p2/3pbn1p/q2Bb3/4PB1P/2N3p1/PPP3P1/1K2RQ1R b k - 0 20,116
2r1k2r/pp3p2/3pbn1p/q2B4/4PB1P/2b3p1/PPP3P1/1K2RQ1R w k - 0 21,-132
2r1k2r/pp3p2/3pbn1p/q2B4/4PB1P/2P3p1/P1P3P1/1K2RQ1R b k - 0 21,152
2r1k2r/pp3p2/3pb2p/q2n4/4PB1P/2P3p1/P1P3P1/1K2RQ1R w k - 0 22,-143
2r1k2r/pp3p2/3pb2p/q2P4/5B1P/2P3p1/P1P3P1/1K2RQ1R b k - 0 22,127
2r1k2r/pp3p2/3pb2p/3q4/5B1P/2P3p1/P1P3P1/1K2RQ1R w k - 0 23,-125
2r1k2r/pp3p2/3pb2p/3q4/5B1P/2P2Qp1/P1P3P1/1K2R2R b k - 1 23,140
2r1k2r/pp3p2/3pb2p/8/5B1P/2P2qp1/P1P3P1/1K2R2R w k - 0 24,-131
2r1k2r/pp3p2/3pb2p/8/5B1P/2P2Pp1/P1P5/1K2R2R b k - 0 24,122
2r4r/pp2kp2/3pb2p/8/5B1P/2P2Pp1/P1P5/1K2R2R w - - 1 25,-101
2r4r/pp2kp2/3pb2p/8/7P/2P2PB1/P1P5/1K2R2R b - - 0 25,132
7r/pp2kp2/3pb2p/8/7P/2r2PB1/P1P5/1K2R2R w - - 0 26,-144
7r/pp2kp2/3pb2p/8/7P/2r2PB1/P1P5/1K1R3R b - - 1 26,131
3r4/pp2kp2/3pb2p/8/7P/2r2PB1/P1P5/1K1R3R w - - 2 27,-135
3r4/pp2kp2/3pb2p/8/5B1P/2r2P2/P1P5/1K1R3R b - - 3 27,163
3r4/pp2kp2/3pb3/7p/5B1P/2r2P2/P1P5/1K1R3R w - - 0 28,-187
3r4/pp2kp2/3pb3/7p/5B1P/2rR1P2/P1P5/1K5R b - - 1 28,200
3r4/pp2kp2/3pb3/7p/5B1P/3r1P2/P1P5/1K5R w - - 0 29,-221
3r4/pp2kp2/3pb3/7p/5B1P/3P1P2/P7/1K5R b - - 0 29,213
6r1/pp2kp2/3pb3/7p/5B1P/3P1P2/P7/1K5R w - - 1 30,-205
6r1/pp2kp2/3pb3/7p/5B1P/3P1P2/P7/1KR5 b - - 2 30,219
6r1/pp1k1p2/3pb3/7p/5B1P/3P1P2/P7/1KR5 w - - 3 31,-214
6r1/pp1k1p2/3pb3/6Bp/7P/3P1P2/P7/1KR5 b - - 4 31,239
6r1/pp1k4/3pbp2/6Bp/7P/3P1P2/P7/1KR5 w - - 0 32,-134
6r1/pp1k4/3pbp2/7p/5B1P/3P1P2/P7/1KR5 b - - 1 32,275
6r1/p2k4/3pbp2/1p5p/5B1P/3P1P2/P7/1KR5 w - - 0 33,-265
6r1/p2k4/3pbp2/1p5p/5B1P/P2P1P2/8/1KR5 b - - 0 33,221
6r1/p2k4/3p1p2/1p1b3p/5B1P/P2P1P2/8/1KR5 w - - 1 34,-218
6r1/p2k4/3p1p2/1p1b3p/7P/P2PBP2/8/1KR5 b - - 2 34,203
8/p2k4/3p1p2/1p1b3p/7P/P2PBPr1/8/1KR5 w - - 3 35,-227
8/B2k4/3p1p2/1p1b3p/7P/P2P1Pr1/8/1KR5 b - - 0 35,199
8/B2k4/3p1p2/1p1b3p/7P/P2P1P1r/8/1KR5 w - - 1 36,-218
8/3k4/3p1p2/1p1b3p/3B3P/P2P1P1r/8/1KR5 b - - 2 36,199
8/8/3pkp2/1p1b3p/3B3P/P2P1P1r/8/1KR5 w - - 3 37,-208
8/8/3pkp2/1p1b3p/7P/P1BP1P1r/8/1KR5 b - - 4 37,210
8/8/3pkp2/1p1b3p/7r/P1BP1P2/8/1KR5 w - - 0 38,-196
8/8/3pkp2/1p1b3p/7r/P1BP1P2/8/1K2R3 b - - 1 38,201
8/5k2/3p1p2/1p1b3p/7r/P1BP1P2/8/1K2R3 w - - 2 39,-209
8/5k2/3p1p2/1p1b3p/1B5r/P2P1P2/8/1K2R3 b - - 3 39,200
8/5k2/3p1p2/1p5p/1B5r/P2P1b2/8/1K2R3 w - - 0 40,-212
8/5k2/3p1p2/1p5p/1B5r/P2P1b2/2K5/4R3 b - - 1 40,258
8/5k2/5p2/1p1p3p/1B5r/P2P1b2/2K5/4R3 w - - 0 41,-236
8/4Rk2/5p2/1p1p3p/1B5r/P2P1b2/2K5/8 b - - 1 41,258
8/4R3/5pk1/1p1p3p/1B5r/P2P1b2/2K5/8 w - - 2 42,-260
8/8/4Rpk1/1p1p3p/1B5r/P2P1b2/2K5/8 b - - 3 42,257
8/8/4Rpk1/1p1p3p/1B3r2/P2P1b2/2K5/8 w - - 4 43,-263
8/8/1R3pk1/1p1p3p/1B3r2/P2P1b2/2K5/8 b - - 5 43,443
8/8/1R3pk1/1p1p4/1B3r1p/P2P1b2/2K5/8 w - - 0 44,-211
8/8/1R1B1pk1/1p1p4/5r1p/P2P1b2/2K5/8 b - - 1 44,220
8/8/1R1B1pk1/1p1p4/6rp/P2P1b2/2K5/8 w - - 2 45,-245
8/4B3/1R3pk1/1p1p4/6rp/P2P1b2/2K5/8 b - - 3 45,230
8/4Bk2/1R3p2/1p1p4/6rp/P2P1b2/2K5/8 w - - 4 46,-230
8/5k2/1R3B2/1p1p4/6rp/P2P1b2/2K5/8 b - - 0 46,252
8/5k2/1R3B2/1p1p4/6r1/P2P1b1p/2K5/8 w - - 0 47,-243
8/5k2/1R6/1p1pB3/6r1/P2P1b1p/2K5/8 b - - 1 47,239
8/5k2/1R6/1p1pB3/6r1/P2P1b2/2K4p/8 w - - 0 48,-240
8/5k2/1R6/1p1p4/6r1/P2P1b2/2K4B/8 b - - 0 48,215
8/5k2/1R6/1p1p4/8/P2P1b2/2K3rB/8 w - - 1 49,-214
8/5k2/1R6/1p1p4/8/P1KP1b2/6rB/8 b - - 2 49,217
8/5k2/1R6/1p1p4/8/P1KP1b2/7r/8 w - - 0 50,-253
8/5k2/8/1R1p4/8/P1KP1b2/7r/8 b - - 0 50,249
8/8/4k3/1R1p4/8/P1KP1b2/7r/8 w - - 1 51,-261
1R6/8/4k3/3p4/8/P1KP1b2/7r/8 b - - 2 51,246
1R6/8/4k3/3p4/8/P1KP1b1r/8/8 w - - 3 52,-219
1R6/8/4k3/3p4/3K4/P2P1b1r/8/8 b - - 4 52,199
1R6/8/4k3/3p4/3K3r/P2P1b2/8/8 w - - 5 53,-218
1R6/8/4k3/2Kp4/7r/P2P1b2/8/8 b - - 6 53,227
1R6/8/4k3/2Kp4/r7/P2P1b2/8/8 w - - 7 54,-243
5R2/8/4k3/2Kp4/r7/P2P1b2/8/8 b - - 8 54,227
5R2/8/4k3/2Kp3b/r7/P2P4/8/8 w - - 9 55,-235
8/8/4k3/2Kp3b/r7/P2P4/8/5R2 b - - 10 55,239
8/5b2/4k3/2Kp4/r7/P2P4/8/5R2 w - - 11 56,-244
8/5b2/4k3/2Kp4/r7/P2P4/8/4R3 b - - 12 56,239
8/5b2/5k2/2Kp4/r7/P2P4/8/4R3 w - - 13 57,-217
8/5b2/5k2/2Kp4/r7/P2P4/8/R7 b - - 14 57,259
8/5b2/4k3/2Kp4/r7/P2P4/8/R7 w - - 15 58,-240
8/5b2/4k3/2Kp4/r7/P2P4/8/4R3 b - - 16 58,262
8/5b2/5k2/2Kp4/r7/P2P4/8/4R3 w - - 17 59,-215
8/5b2/5k2/2Kp4/r7/P2P4/8/R7 b - - 18 59,248
8/4kb2/8/2Kp4/r7/P2P4/8/R7 w - - 19 60,-264
8/4kb2/8/2Kp4/r7/P2P4/8/4R3 b - - 20 60,262
8/4k3/4b3/2Kp4/r7/P2P4/8/4R3 w - - 21 61,-263
8/4k3/4b3/2Kp4/r7/P2P4/8/R7 b - - 22 61,274
8/4k3/4b3/r1Kp4/8/P2P4/8/R7 w - - 23 62,-284
8/4k3/4b3/r2p4/1K6/P2P4/8/R7 b - - 24 62,287
8/r3k3/4b3/3p4/1K6/P2P4/8/R7 w - - 25 63,-258
8/r3k3/4b3/3p4/PK6/3P4/8/R7 b - - 0 63,274
8/r7/3kb3/3p4/PK6/3P4/8/R7 w - - 1 64,-308
8/r7/3kb3/P2p4/1K6/3P4/8/R7 b - - 0 64,295
8/r7/3k4/P2p1b2/1K6/3P4/8/R7 w - - 1 65,-307
8/r7/3k4/P2p1b2/1K6/R2P4/8/8 b - - 2 65,307
2b5/r7/3k4/P2p4/1K6/R2P4/8/8 w - - 3 66,-309
2b5/r7/3k4/P2p4/1K1P4/R7/8/8 b - - 0 66,302
2b5/1r6/3k4/P2p4/1K1P4/R7/8/8 w - - 1 67,-315
2b5/1r6/3k4/P2p4/3P4/R1K5/8/8 b - - 2 67,330
2b5/2r5/3k4/P2p4/3P4/R1K5/8/8 w - - 3 68,-318
2b5/2r5/3k4/P2p4/3P4/R7/1K6/8 b - - 4 68,344
8/2r5/b2k4/P2p4/3P4/R7/1K6/8 w - - 5 69,-359
8/2r5/b2k4/P2p4/3P4/2R5/1K6/8 b - - 6 69,599
8/8/b2k4/P2p4/2rP4/2R5/1K6/8 w - - 7 70,-319
8/8/b2k4/P2p4/2rP4/6R1/1K6/8 b - - 8 70,336
8/8/b1k5/P2p4/2rP4/6R1/1K6/8 w - - 9 71,-299
8/8/b1k3R1/P2p4/2rP4/8/1K6/8 b - - 10 71,330
8/1k6/b5R1/P2p4/2rP4/8/1K6/8 w - - 11 72,-338
