FEN,Bewertung
2R5/8/8/4K3/1n6/3k4/8/8 w - - 5 81,27
2R5/8/3K4/8/1n6/3k4/8/8 b - - 6 81,-24
2R5/8/3K4/8/1n1k4/8/8/8 w - - 7 82,23
6R1/8/3K4/8/1n1k4/8/8/8 b - - 8 82,-23
6R1/8/3K4/8/1nk5/8/8/8 w - - 9 83,25
2R5/8/3K4/8/1nk5/8/8/8 b - - 10 83,-22
2R5/8/3K4/8/1n1k4/8/8/8 w - - 11 84,22
6R1/8/3K4/8/1n1k4/8/8/8 b - - 12 84,-23
6R1/8/3K4/8/1nk5/8/8/8 w - - 13 85,20
8/8/3K4/8/1nk3R1/8/8/8 b - - 14 85,-22
8/8/3K4/1k6/1n4R1/8/8/8 w - - 15 86,19
8/8/3K4/1k6/1n6/8/8/6R1 b - - 16 86,-17
8/8/3K4/8/1nk5/8/8/6R1 w - - 17 87,20
8/8/3K4/8/1nk5/8/8/2R5 b - - 18 87,-19
8/8/3K4/8/1n1k4/8/8/2R5 w - - 19 88,17
8/8/3K4/8/1n1k4/8/8/3R4 b - - 20 88,-17
8/8/3K4/8/1nk5/8/8/3R4 w - - 21 89,15
8/8/3K4/8/1nk5/8/8/2R5 b - - 22 89,-21
8/8/3K4/8/1n1k4/8/8/2R5 w - - 23 90,22
8/8/3K4/8/1n1k4/8/8/6R1 b - - 24 90,-17
8/8/3K4/8/1nk5/8/8/6R1 w - - 25 91,15
8/6R1/3K4/8/1nk5/8/8/8 b - - 26 91,-15
8/6R1/3K4/8/2k5/8/n7/8 w - - 27 92,14
8/8/3K4/8/2k3R1/8/n7/8 b - - 28 92,-14
8/8/3K4/1k6/6R1/8/n7/8 w - - 29 93,13
8/8/8/1k1K4/6R1/8/n7/8 b - - 30 93,-13
8/8/8/1k1K4/1n4R1/8/8/8 w - - 31 94,13
8/8/3K4/1k6/1n4R1/8/8/8 b - - 32 94,-11
8/8/3K4/1k6/6R1/8/n7/8 w - - 33 95,10
8/8/3K4/1k4R1/8/8/n7/8 b - - 34 95,-10
8/8/3K4/6R1/2k5/8/n7/8 w - - 35 96,10
8/8/3K4/2R5/2k5/8/n7/8 b - - 36 96,-10
8/8/3K4/2R5/8/3k4/n7/8 w - - 37 97,14
8/8/3K4/7R/8/3k4/n7/8 b - - 38 97,-13
8/8/3K4/7R/2k5/8/n7/8 w - - 39 98,9
8/8/3K4/8/2k4R/8/n7/8 b - - 40 98,-9
8/8/3K4/1k6/7R/8/n7/8 w - - 41 99,7
8/8/8/1k1K4/7R/8/n7/8 b - - 42 99,-7
8/8/8/1k1K4/1n5R/8/8/8 w - - 43 100,7
8/8/8/1k6/1n1K3R/8/8/8 b - - 44 100,-9
8/8/2n5/1k6/3K3R/8/8/8 w - - 45 101,7
8/8/2n5/1k6/7R/2K5/8/8 b - - 46 101,-21
8/8/2n5/2k5/7R/2K5/8/8 w - - 47 102,26
8/8/2n5/2k4R/8/2K5/8/8 b - - 48 102,-28
8/8/2nk4/7R/8/2K5/8/8 w - - 49 103,28
8/8/2nk4/7R/8/3K4/8/8 b - - 50 103,-23
8/8/3k4/4n2R/8/3K4/8/8 w - - 51 104,18
8/8/3k4/4n2R/4K3/8/8/8 b - - 52 104,-17
8/8/2nk4/7R/4K3/8/8/8 w - - 53 105,16
8/8/2nk4/3R4/4K3/8/8/8 b - - 54 105,-15
8/8/2n1k3/3R4/4K3/8/8/8 w - - 55 106,16
8/8/2n1k3/8/4K3/8/3R4/8 b - - 56 106,-14
1n6/8/4k3/8/4K3/8/3R4/8 w - - 57 107,13
1n6/8/4k3/8/3K4/8/3R4/8 b - - 58 107,-14
1n6/8/3k4/8/3K4/8/3R4/8 w - - 59 108,11
1n6/8/3k4/8/2K5/8/3R4/8 b - - 60 108,-12
1n6/8/4k3/8/2K5/8/3R4/8 w - - 61 109,10
1n6/8/4k3/8/2K5/8/8/3R4 b - - 62 109,-10
8/3n4/4k3/8/2K5/8/8/3R4 w - - 63 110,9
8/3n4/4k3/8/2K5/8/8/4R3 b - - 64 110,-9
8/3n4/3k4/8/2K5/8/8/4R3 w - - 65 111,6
8/3n4/3k4/1K6/8/8/8/4R3 b - - 66 111,-6
8/3n4/8/1K1k4/8/8/8/4R3 w - - 67 112,5
8/3n4/8/1K1k4/8/8/8/3R4 b - - 68 112,-3
8/3n4/4k3/1K6/8/8/8/3R4 w - - 69 113,4
8/3n4/4k3/1K6/8/8/8/4R3 b - - 70 113,-3
8/3n4/8/1K3k2/8/8/8/4R3 w - - 71 114,5
8/3nR3/8/1K3k2/8/8/8/8 b - - 72 114,-2
8/4R3/5n2/1K3k2/8/8/8/8 w - - 73 115,14
8/4R3/5n2/2K2k2/8/8/8/8 b - - 74 115,-5
8/4R3/8/2K2k2/4n3/8/8/8 w - - 75 116,1
8/4R3/8/5k2/3Kn3/8/8/8 b - - 76 116,0
8/4R3/5n2/5k2/3K4/8/8/8 w - - 77 117,0
8/8/5n2/5k2/3K4/8/8/4R3 b - - 78 117,0
8/3n4/8/5k2/3K4/8/8/4R3 w - - 79 118,0
8/3n4/8/3K1k2/8/8/8/4R3 b - - 80 118,0
8/8/5n2/3K1k2/8/8/8/4R3 w - - 81 119,0
8/8/5n2/5k2/3K4/8/8/4R3 b - - 82 119,0
8/3n4/8/5k2/3K4/8/8/4R3 w - - 83 120,0
8/3nR3/8/5k2/3K4/8/8/8 b - - 84 120,0
8/4R3/5n2/5k2/3K4/8/8/8 w - - 85 121,0
8/8/5n2/4Rk2/3K4/8/8/8 b - - 86 121,0
8/8/5n2/4R3/3K1k2/8/8/8 w - - 87 122,0
8/8/5n2/8/3K1k2/8/8/4R3 b - - 88 122,0
8/8/8/8/3K1kn1/8/8/4R3 w - - 89 123,0
8/8/8/8/3K1kn1/8/8/5R2 b - - 90 123,0
8/8/8/6k1/3K2n1/8/8/5R2 w - - 91 124,0
8/8/8/6k1/4K1n1/8/8/5R2 b - - 92 124,0
8/8/5n2/6k1/4K3/8/8/5R2 w - - 93 125,0
8/8/5n2/4K1k1/8/8/8/5R2 b - - 94 125,0
8/8/8/4K1k1/6n1/8/8/5R2 w - - 95 126,0
8/8/3K4/6k1/6n1/8/8/5R2 b - - 96 126,0
8/8/3K4/6k1/8/4n3/8/5R2 w - - 97 127,0
8/8/3K4/6k1/8/4n3/8/6R1 b - - 98 127,0
8/8/3K3k/8/8/4n3/8/6R1 w - - 99 128,0
8/8/3K3k/8/8/4n3/8/7R b - - 100 128,0
8/8/3K4/6k1/8/4n3/8/7R w - - 101 129,0
8/8/3K4/6kR/8/4n3/8/8 b - - 102 129,7
8/8/3K4/7k/8/4n3/8/8 w - - 0 130,-7
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-28
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,26
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,-27
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,23
r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-35
r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,37
r1bqkbnr/1ppp1ppp/p1n5/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 4,-25
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 5,30
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 3 5,-30
r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 4 6,31
r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 b kq - 5 6,-28
r1bqk2r/2ppbppp/p1n2n2/1p2p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 w kq - 0 7,30
r1bqk2r/2ppbppp/p1n2n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 b kq - 1 7,-38
r1bq1rk1/2ppbppp/p1n2n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 w - - 2 8,34
r1bq1rk1/2ppbppp/p1n2n2/1p2p3/P3P3/1B3N2/1PPP1PPP/RNBQR1K1 b - - 0 8,-24
r1bq1rk1/2ppbppp/p1n2n2/4p3/Pp2P3/1B3N2/1PPP1PPP/RNBQR1K1 w - - 0 9,20
r1bq1rk1/2ppbppp/p1n2n2/P3p3/1p2P3/1B3N2/1PPP1PPP/RNBQR1K1 b - - 0 9,-18
r1bq1rk1/2p1bppp/p1np1n2/P3p3/1p2P3/1B3N2/1PPP1PPP/RNBQR1K1 w - - 0 10,15
r1bq1rk1/2p1bppp/p1np1n2/P3p3/1p2P3/1BP2N2/1P1P1PPP/RNBQR1K1 b - - 0 10,-14
1rbq1rk1/2p1bppp/p1np1n2/P3p3/1p2P3/1BP2N2/1P1P1PPP/RNBQR1K1 w - - 1 11,12
1rbq1rk1/2p1bppp/p1np1n2/P3p3/1pB1P3/2P2N2/1P1P1PPP/RNBQR1K1 b - - 2 11,-15
1rbq1rk1/2p1bppp/p1n2n2/P2pp3/1pB1P3/2P2N2/1P1P1PPP/RNBQR1K1 w - - 0 12,31
1rbq1rk1/2p1bppp/p1n2n2/P2Pp3/1pB5/2P2N2/1P1P1PPP/RNBQR1K1 b - - 0 12,-24
1rbq1rk1/2p1bppp/p1n5/P2np3/1pB5/2P2N2/1P1P1PPP/RNBQR1K1 w - - 0 13,27
1rbq1rk1/2p1bppp/p1n5/P2np3/1pB5/2P2N1P/1P1P1PP1/RNBQR1K1 b - - 0 13,-34
1rbq1rk1/2p1bpp1/p1n4p/P2np3/1pB5/2P2N1P/1P1P1PP1/RNBQR1K1 w - - 0 14,24
1rbq1rk1/2p1bpp1/p1n4p/P2np3/1pB5/2PP1N1P/1P3PP1/RNBQR1K1 b - - 0 14,-6
1r1q1rk1/1bp1bpp1/p1n4p/P2np3/1pB5/2PP1N1P/1P3PP1/RNBQR1K1 w - - 1 15,8
1r1q1rk1/1bp1bpp1/p1n4p/P2np3/QpB5/2PP1N1P/1P3PP1/RNB1R1K1 b - - 2 15,18
1r3rk1/1bpqbpp1/p1n4p/P2np3/QpB5/2PP1N1P/1P3PP1/RNB1R1K1 w - - 3 16,-12
1r3rk1/1bpqbpp1/p1n4p/P2np3/QpBP4/2P2N1P/1P3PP1/RNB1R1K1 b - - 0 16,27
1r3rk1/1bpqbpp1/p1n4p/P2n4/QpBp4/2P2N1P/1P3PP1/RNB1R1K1 w - - 0 17,-29
1r3rk1/1bpqbpp1/p1n4p/P2n4/QpBP4/5N1P/1P3PP1/RNB1R1K1 b - - 0 17,26
3r1rk1/1bpqbpp1/p1n4p/P2n4/QpBP4/5N1P/1P3PP1/RNB1R1K1 w - - 1 18,-22
3r1rk1/1bpqbpp1/p1n4p/P2n4/QpBP4/4BN1P/1P3PP1/RN2R1K1 b - - 2 18,12
3r1rk1/1bpqb1p1/p1n4p/P2n1p2/QpBP4/4BN1P/1P3PP1/RN2R1K1 w - - 0 19,-12
3r1rk1/1bpqb1p1/p1n4p/P2n1p2/QpBP4/5N1P/1P3PP1/RNB1R1K1 b - - 1 19,0
3r1r1k/1bpqb1p1/p1n4p/P2n1p2/QpBP4/5N1P/1P3PP1/RNB1R1K1 w - - 2 20,0
3r1r1k/1bpqb1p1/p1n4p/P2n1p2/QpBP4/5N1P/1P1N1PP1/R1B1R1K1 b - - 3 20,17
3r3k/1bpqb1p1/p1n2r1p/P2n1p2/QpBP4/5N1P/1P1N1PP1/R1B1R1K1 w - - 4 21,30
3r3k/1bpqb1p1/p1n2r1p/P2n1p2/QpBP4/1N3N1P/1P3PP1/R1B1R1K1 b - - 5 21,-59
3r1b1k/1bpq2p1/p1n2r1p/P2n1p2/QpBP4/1N3N1P/1P3PP1/R1B1R1K1 w - - 6 22,84
3r1b1k/1bpq2p1/p1n2r1p/P2n1p2/QpBP4/1N3N1P/1P1B1PP1/R3R1K1 b - - 7 22,-81
3r1b1k/1bp2qp1/p1n2r1p/P2n1p2/QpBP4/1N3N1P/1P1B1PP1/R3R1K1 w - - 8 23,90
3r1b1k/1bp2qp1/p1n2r1p/P2n1p2/QpBP4/1N3N1P/1P1B1PP1/2R1R1K1 b - - 9 23,-98
3r1b1k/1bp3p1/p1n2r1p/P2n1p1q/QpBP4/1N3N1P/1P1B1PP1/2R1R1K1 w - - 10 24,98
3r1b1k/1bp3p1/p1n2r1p/P2n1p1q/Qp1P4/1N3N1P/1P1BBPP1/2R1R1K1 b - - 11 24,-106
3r1b1k/1bp3p1/p1n1r2p/P2n1p1q/Qp1P4/1N3N1P/1P1BBPP1/2R1R1K1 w - - 12 25,123
3r1b1k/1bp3p1/B1n1r2p/P2n1p1q/Qp1P4/1N3N1P/1P1B1PP1/2R1R1K1 b - - 0 25,-95
3r1b1k/1bp3p1/B1n3rp/P2n1p1q/Qp1P4/1N3N1P/1P1B1PP1/2R1R1K1 w - - 1 26,108
3r1b1k/1bp3p1/B1n1R1rp/P2n1p1q/Qp1P4/1N3N1P/1P1B1PP1/2R3K1 b - - 2 26,-120
3r1b1k/2p3p1/b1n1R1rp/P2n1p1q/Qp1P4/1N3N1P/1P1B1PP1/2R3K1 w - - 0 27,146
3r1b1k/2p3p1/b1n3Rp/P2n1p1q/Qp1P4/1N3N1P/1P1B1PP1/2R3K1 b - - 0 27,-138
3r1b1k/2p3p1/b1n3qp/P2n1p2/Qp1P4/1N3N1P/1P1B1PP1/2R3K1 w - - 0 28,131
3r1b1k/2p3p1/b1n3qp/P2n1p2/Qp1P3N/1N5P/1P1B1PP1/2R3K1 b - - 1 28,-137
3r1b1k/2p3p1/b1n1q2p/P2n1p2/Qp1P3N/1N5P/1P1B1PP1/2R3K1 w - - 2 29,143
3r1b1k/2p3p1/b1Q1q2p/P2n1p2/1p1P3N/1N5P/1P1B1PP1/2R3K1 b - - 0 29,-125
3r3k/2p3p1/b1Qbq2p/P2n1p2/1p1P3N/1N5P/1P1B1PP1/2R3K1 w - - 1 30,126
3r3k/2p3p1/b2bq2p/P2n1p2/1p1P3N/1N5P/1PQB1PP1/2R3K1 b - - 2 30,-127
3r3k/2p3p1/b2b1q1p/P2n1p2/1p1P3N/1N5P/1PQB1PP1/2R3K1 w - - 3 31,130
3r3k/2p3p1/b2b1q1p/P2n1p2/1p1P4/1N3N1P/1PQB1PP1/2R3K1 b - - 4 31,-109
3r3k/2p3p1/b2b1q1p/P4p2/1p1P1n2/1N3N1P/1PQB1PP1/2R3K1 w - - 5 32,110
3r3k/2p3p1/b2b1q1p/P4p2/1p1P1B2/1N3N1P/1PQ2PP1/2R3K1 b - - 0 32,-117
3r3k/2p3p1/b4q1p/P4p2/1p1P1b2/1N3N1P/1PQ2PP1/2R3K1 w - - 0 33,128
3r3k/2p3p1/b4q1p/P4p2/1p1P1b2/1N3N1P/1PQ2PP1/4R1K1 b - - 1 33,-133
3r3k/1bp3p1/5q1p/P4p2/1p1P1b2/1N3N1P/1PQ2PP1/4R1K1 w - - 2 34,139
3r3k/1bp3p1/5q1p/P1N2p2/1p1P1b2/5N1P/1PQ2PP1/4R1K1 b - - 3 34,-145
3r3k/2p3p1/5q1p/P1N2p2/1p1P1b2/5b1P/1PQ2PP1/4R1K1 w - - 0 35,138
3r3k/2p3p1/5q1p/P1N2p2/1p1P1b2/5P1P/1PQ2P2/4R1K1 b - - 0 35,-151
3r3k/2p3p1/3b1q1p/P1N2p2/1p1P4/5P1P/1PQ2P2/4R1K1 w - - 1 36,165
3r3k/2p3p1/3bNq1p/P4p2/1p1P4/5P1P/1PQ2P2/4R1K1 b - - 2 36,-194
4r2k/2p3p1/3bNq1p/P4p2/1p1P4/5P1P/1PQ2P2/4R1K1 w - - 3 37,191
4r2k/2p3p1/3bNq1p/P4p2/1p1P4/1Q3P1P/1P3P2/4R1K1 b - - 4 37,-203
4r2k/2p3p1/3bN1qp/P4p2/1p1P4/1Q3P1P/1P3P2/4R1K1 w - - 5 38,204
4r2k/2p3p1/3bN1qp/P4p2/1p1P4/1Q3P1P/1P3P2/4RK2 b - - 6 38,-228
4r2k/2p3p1/3bN2p/P4p1q/1p1P4/1Q3P1P/1P3P2/4RK2 w - - 7 39,225
4r2k/2p3p1/P2bN2p/5p1q/1p1P4/1Q3P1P/1P3P2/4RK2 b - - 0 39,-233
4r2k/2p3p1/P2bN2p/5p2/1p1P4/1Q3P1q/1P3P2/4RK2 w - - 0 40,242
4r2k/2p3p1/P2bN2p/5p2/1p1P4/1Q3P1q/1P2KP2/4R3 b - - 1 40,-256
4r2k/2p3p1/P2bN2p/5p2/1p1P4/1Q3P2/1P2KPq1/4R3 w - - 2 41,288
4r2k/P1p3p1/3bN2p/5p2/1p1P4/1Q3P2/1P2KPq1/4R3 b - - 0 41,-292
4r2k/P1p3p1/3bN1qp/5p2/1p1P4/1Q3P2/1P2KP2/4R3 w - - 1 42,299
4r2k/P1p3p1/3bN1qp/5p2/1p1P4/1Q3P2/1P3P2/4RK2 b - - 2 42,-308
r6k/P1p3p1/3bN1qp/5p2/1p1P4/1Q3P2/1P3P2/4RK2 w - - 3 43,317
r6k/P1p3p1/3bN1qp/5p2/1p1P4/1Q3P2/1P3P2/R4K2 b - - 4 43,-312
r6k/P1p3p1/3bN2p/5p1q/1p1P4/1Q3P2/1P3P2/R4K2 w - - 5 44,329
r6k/P1p3p1/3bN2p/5p1q/1p1P4/1Q3P2/1P2KP2/R7 b - - 6 44,-316
r3q2k/P1p3p1/3bN2p/5p2/1p1P4/1Q3P2/1P2KP2/R7 w - - 7 45,327
r3q2k/P1p3p1/3bN2p/3Q1p2/1p1P4/5P2/1P2KP2/R7 b - - 8 45,-337
r3q2k/P1p3p1/3bN2p/3Q4/1p1P1p2/5P2/1P2KP2/R7 w - - 0 46,307
r3q2k/P1p3p1/3bN2p/3Q4/1p1P1p2/5P2/1P3P2/R4K2 b - - 1 46,-318
r3q3/P1p3pk/3bN2p/3Q4/1p1P1p2/5P2/1P3P2/R4K2 w - - 2 47,332
r3q3/P1p3pk/R2bN2p/3Q4/1p1P1p2/5P2/1P3P2/5K2 b - - 3 47,-340
r5q1/P1p3pk/R2bN2p/3Q4/1p1P1p2/5P2/1P3P2/5K2 w - - 4 48,367
r5q1/P1p3pk/R2bN2p/8/1p1PQp2/5P2/1P3P2/5K2 b - - 5 48,-405
r5qk/P1p3p1/R2bN2p/8/1p1PQp2/5P2/1P3P2/5K2 w - - 6 49,399
r5qk/PQp3p1/R2bN2p/8/1p1P1p2/5P2/1P3P2/5K2 b - - 7 49,-420
r5q1/PQp3pk/R2bN2p/8/1p1P1p2/5P2/1P3P2/5K2 w - - 8 50,416
r5q1/PQN3pk/R2b3p/8/1p1P1p2/5P2/1P3P2/5K2 b - - 0 50,-450
r5q1/PQb3pk/R6p/8/1p1P1p2/5P2/1P3P2/5K2 w - - 0 51,416
r5q1/P1Q3pk/R6p/8/1p1P1p2/5P2/1P3P2/5K2 b - - 0 51,-432
r3q3/P1Q3pk/R6p/8/1p1P1p2/5P2/1P3P2/5K2 w - - 1 52,464
r3q3/PQ4pk/R6p/8/1p1P1p2/5P2/1P3P2/5K2 b - - 2 52,-472
r3q3/PQ4pk/R6p/8/3P1p2/1p3P2/1P3P2/5K2 w - - 0 53,494
r3q3/P5pk/R6p/8/3PQp2/1p3P2/1P3P2/5K2 b - - 1 53,-505
r7/P5pk/R6p/8/3Pqp2/1p3P2/1P3P2/5K2 w - - 0 54,498
r7/P5pk/R6p/8/3PPp2/1p6/1P3P2/5K2 b - - 0 54,-491
r7/P6k/R6p/6p1/3PPp2/1p6/1P3P2/5K2 w - - 0 55,509
r7/P6k/R6p/3P2p1/4Pp2/1p6/1P3P2/5K2 b - - 0 55,-565
r5k1/P7/R6p/3P2p1/4Pp2/1p6/1P3P2/5K2 w - - 1 56,562
r5k1/P7/R6p/3PP1p1/5p2/1p6/1P3P2/5K2 b - - 0 56,-587
r5k1/P7/R6p/3PP1p1/8/1p3p2/1P3P2/5K2 w - - 0 57,628
r5k1/P7/R2P3p/4P1p1/8/1p3p2/1P3P2/5K2 b - - 0 57,-663
r7/P4k2/R2P3p/4P1p1/8/1p3p2/1P3P2/5K2 w - - 1 58,715
r7/P2P1k2/R6p/4P1p1/8/1p3p2/1P3P2/5K2 b - - 0 58,-733
r7/P2Pk3/R6p/4P1p1/8/1p3p2/1P3P2/5K2 w - - 1 59,742
r7/P2Pk3/3R3p/4P1p1/8/1p3p2/1P3P2/5K2 b - - 2 59,-788
3r4/P2Pk3/3R3p/4P1p1/8/1p3p2/1P3P2/5K2 w - - 3 60,801
3r4/P2Pk3/3R3p/4P1p1/8/1p3p2/1P3P2/6K1 b - - 4 60,-824
3r4/P2Pk3/3R3p/4P3/6p1/1p3p2/1P3P2/6K1 w - - 0 61,834
3r4/P2Pk3/3R3p/4P3/6p1/1p3p2/1P3P1K/8 b - - 1 61,-858
3r4/P2P1k2/3R3p/4P3/6p1/1p3p2/1P3P1K/8 w - - 2 62,878
3r4/P2P1k2/1R5p/4P3/6p1/1p3p2/1P3P1K/8 b - - 3 62,-887
3r4/P2Pk3/1R5p/4P3/6p1/1p3p2/1P3P1K/8 w - - 4 63,971
1R1r4/P2Pk3/7p/4P3/6p1/1p3p2/1P3P1K/8 b - - 5 63,-1087
1R1r1k2/P2P4/7p/4P3/6p1/1p3p2/1P3P1K/8 w - - 6 64,9993
3R1k2/P2P4/7p/4P3/6p1/1p3p2/1P3P1K/8 b - - 0 64,-9994
3R4/P2Pk3/7p/4P3/6p1/1p3p2/1P3P1K/8 w - - 1 65,9994
Q2R4/3Pk3/7p/4P3/6p1/1p3p2/1P3P1K/8 b - - 0 65,-9995
Q2R4/3Pk3/7p/4P3/8/1p3pp1/1P3P1K/8 w - - 0 66,9995
Q2R4/3Pk3/7p/4P3/8/1p3pK1/1P3P2/8 b - - 0 66,-9996
Q2R4/3Pk3/8/4P2p/8/1p3pK1/1P3P2/8 w - - 0 67,9996
Q4R2/3Pk3/8/4P2p/8/1p3pK1/1P3P2/8 b - - 1 67,-9997
Q4R2/3Pk3/8/4P3/7p/1p3pK1/1P3P2/8 w - - 0 68,9997
Q4R2/3Pk3/8/4P3/6Kp/1p3p2/1P3P2/8 b - - 1 68,-9998
Q4R2/3k4/8/4P3/6Kp/1p3p2/1P3P2/8 w - - 0 69,9998
5R2/1Q1k4/8/4P3/6Kp/1p3p2/1P3P2/8 b - - 1 69,-9999
5R2/1Q6/4k3/4P3/6Kp/1p3p2/1P3P2/8 w - - 2 70,9999
4R3/1Q6/4k3/4P3/6Kp/1p3p2/1P3P2/8 b - - 3 70,-10000
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-30
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,34
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,-39
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,36
r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,-40
r1bqkbnr/1ppp1ppp/p1n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,31
r1bqkbnr/1ppp1ppp/p1n5/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 4,-35
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 5,36
r1bqkb1r/1ppp1ppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 b kq - 3 5,-40
r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 4 6,43
r1bqk2r/1pppbppp/p1n2n2/4p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 b kq - 5 6,-38
r1bqk2r/2ppbppp/p1n2n2/1p2p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 w kq - 0 7,35
r1bqk2r/2ppbppp/p1n2n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 b kq - 1 7,-39
r1bq1rk1/2ppbppp/p1n2n2/1p2p3/4P3/1B3N2/PPPP1PPP/RNBQR1K1 w - - 2 8,43
r1bq1rk1/2ppbppp/p1n2n2/1p2p3/4P3/1BP2N2/PP1P1PPP/RNBQR1K1 b - - 0 8,-33
r1bq1rk1/2ppbppp/p4n2/np2p3/4P3/1BP2N2/PP1P1PPP/RNBQR1K1 w - - 1 9,46
r1bq1rk1/2ppbppp/p4n2/np2p3/4P3/2P2N2/PPBP1PPP/RNBQR1K1 b - - 2 9,-29
r1bq1rk1/2p1bppp/p4n2/np1pp3/4P3/2P2N2/PPBP1PPP/RNBQR1K1 w - - 0 10,35
r1bq1rk1/2p1bppp/p4n2/np1pp3/3PP3/2P2N2/PPB2PPP/RNBQR1K1 b - - 0 10,-43
r1bq1rk1/2p1bppp/p4n2/np2p3/3Pp3/2P2N2/PPB2PPP/RNBQR1K1 w - - 0 11,35
r1bq1rk1/2p1bppp/p4n2/np2N3/3Pp3/2P5/PPB2PPP/RNBQR1K1 b - - 0 11,-30
r1bq1rk1/4bppp/p4n2/npp1N3/3Pp3/2P5/PPB2PPP/RNBQR1K1 w - - 0 12,30
r1bq1rk1/4bppp/p4n2/npp1N3/3Pp3/2P1B3/PPB2PPP/RN1QR1K1 b - - 1 12,-33
r2q1rk1/1b2bppp/p4n2/npp1N3/3Pp3/2P1B3/PPB2PPP/RN1QR1K1 w - - 2 13,39
r2q1rk1/1b2bppp/p4n2/npp1N3/3Pp3/2P1B3/PPBN1PPP/R2QR1K1 b - - 3 13,-44
2rq1rk1/1b2bppp/p4n2/npp1N3/3Pp3/2P1B3/PPBN1PPP/R2QR1K1 w - - 4 14,37
2rq1rk1/1b2bppp/p4n2/npp1N3/3Pp3/2P1B2P/PPBN1PP1/R2QR1K1 b - - 0 14,-29
2rqr1k1/1b2bppp/p4n2/npp1N3/3Pp3/2P1B2P/PPBN1PP1/R2QR1K1 w - - 1 15,29
2rqr1k1/1b2bppp/p4n2/npP1N3/4p3/2P1B2P/PPBN1PP1/R2QR1K1 b - - 0 15,-20
2rqr1k1/1b3ppp/p4n2/npb1N3/4p3/2P1B2P/PPBN1PP1/R2QR1K1 w - - 0 16,22
2rqr1k1/1b3ppp/p4n2/npb5/4p1N1/2P1B2P/PPBN1PP1/R2QR1K1 b - - 1 16,-29
2rqr1k1/1b3ppp/p7/npb5/4p1n1/2P1B2P/PPBN1PP1/R2QR1K1 w - - 0 17,40
2rqr1k1/1b3ppp/p7/npb5/4p1P1/2P1B3/PPBN1PP1/R2QR1K1 b - - 0 17,-38
2rq2k1/1b3ppp/p3r3/npb5/4p1P1/2P1B3/PPBN1PP1/R2QR1K1 w - - 1 18,54
2rq2k1/1b3ppp/p3r3/npB5/4p1P1/2P5/PPBN1PP1/R2QR1K1 b - - 0 18,-47
3q2k1/1b3ppp/p3r3/npr5/4p1P1/2P5/PPBN1PP1/R2QR1K1 w - - 0 19,40
3q2k1/1b3ppp/p3r3/npr5/4B1P1/2P5/PP1N1PP1/R2QR1K1 b - - 0 19,-39
